"site","codeG","codeE","nat","age","sexe","etb","fil_other","niv_etd","note_ADM","ADM_S_acceuil","ADM_P_acceuil","ADM_P_acceuil.A","ADM_P_acceuil.B","ADM_P_acceuil.C","ADM_P_acceuil.D","ADM_P_acceuil.E","ADM_P_acceuil.F","ADM_S_inscription","ADM_P_inscription","ADM_P_inscription.A","ADM_P_inscription.B","ADM_P_inscription.C","ADM_P_inscription.D","ADM_P_inscription.E","ADM_P_inscription.F","ADM_S_documents","ADM_P_documents","ADM_P_documents.A","ADM_P_documents.B","ADM_P_documents.C","ADM_P_documents.D","ADM_P_documents.E","ADM_P_documents.F","ADM_S_informations","ADM_P_informations","ADM_P_informations.A","ADM_P_informations.B","ADM_P_informations.C","ADM_P_informations.D","ADM_P_informations.E","ADM_P_informations.F","ADM_S_securite","ADM_P_securite","ADM_P_securite.A","ADM_P_securite.B","ADM_P_securite.C","ADM_P_securite.D","ADM_P_securite.E","ADM_P_securite.F","note_PED","PED_S_filieres","PED_P_filieres","PED_P_filieres.A","PED_P_filieres.B","PED_P_filieres.C","PED_P_filieres.D","PED_P_filieres.E","PED_P_filieres.F","PED_S_formation","PED_P_formation","PED_P_formation.A","PED_P_formation.B","PED_P_formation.C","PED_P_formation.D","PED_P_formation.E","PED_P_formation.F","PED_S_stages","PED_P_stages","PED_P_stages.A","PED_P_stages.B","PED_P_stages.C","PED_P_stages.D","PED_P_stages.E","PED_P_stages.F","PED_S_reclamations","PED_P_reclamations","PED_P_reclamations.A","PED_P_reclamations.B","PED_P_reclamations.C","PED_P_reclamations.D","PED_P_reclamations.E","PED_P_reclamations.F","PED_S_bibliotheque","PED_P_bibliotheque","PED_P_bibliotheque.A","PED_P_bibliotheque.B","PED_P_bibliotheque.C","PED_P_bibliotheque.D","PED_P_bibliotheque.E","PED_P_bibliotheque.F","note_PED_001","SOC_S_logement","SOC_P_logement","SOC_P_logement.A","SOC_P_logement.B","SOC_P_logement.C","SOC_P_logement.D","SOC_P_logement.E","SOC_P_logement.F","SOC_S_sante","SOC_P_sante","SOC_P_sante.A","SOC_P_sante.B","SOC_P_sante.C","SOC_P_sante.D","SOC_P_sante.E","SOC_P_sante.F","SOC_S_restau","SOC_P_restau","SOC_P_restau.A","SOC_P_restau.B","SOC_P_restau.C","SOC_P_restau.D","SOC_P_restau.E","SOC_P_restau.F","SOC_S_sportcult","SOC_P_sportcult","SOC_P_sportcult.A","SOC_P_sportcult.B","SOC_P_sportcult.C","SOC_P_sportcult.D","SOC_P_sportcult.E","SOC_P_sportcult.F","note_INF","INF_S_internet","INF_P_internet","INF_P_internet.A","INF_P_internet.B","INF_P_internet.C","INF_P_internet.D","INF_P_internet.E","INF_P_internet.F","INF_S_mobilier","INF_P_mobilier","INF_P_mobilier.A","INF_P_mobilier.B","INF_P_mobilier.C","INF_P_mobilier.D","INF_P_mobilier.E","INF_P_mobilier.F","INF_S_informatiq","INF_P_informatiq","INF_P_informatiq.A","INF_P_informatiq.B","INF_P_informatiq.C","INF_P_informatiq.D","INF_P_informatiq.E","INF_P_informatiq.F","INF_S_immobilier","INF_P_immobilier","INF_P_immobilier.A","INF_P_immobilier.B","INF_P_immobilier.C","INF_P_immobilier.D","INF_P_immobilier.E","INF_P_immobilier.F","commentaires","Conclusion","Nu_Terminal","DateAuto","hd","hf","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags"
2,"A",21,"0",21,"M","SHLAM",NA,"L",NA,4,"B E",0,1,0,0,1,0,4,"C D E",0,0,1,1,1,0,4,"A B",1,1,0,0,0,0,4,"C",0,0,1,0,0,0,1,"B C",0,1,1,0,0,0,NA,2,"A B D",1,1,0,1,0,0,4,"A B E",1,1,0,0,1,0,8,"",NA,NA,NA,NA,0,0,4,"A C",0,0,1,0,0,0,4,"A C E",1,0,1,0,1,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"",0,NA,NA,NA,1,NA,4,"A C",1,0,1,0,0,0,NA,4,"A B E",1,1,0,0,1,0,2,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,4,"B",0,1,0,0,0,0,"Le personnel fait l’effort pour satisfaire. Améliorer le service sécuritaire",NA,NA,"","","",434092364,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",19,"F","SVT",NA,"L",NA,4,"A B C D",1,1,1,1,0,0,3,"D",0,0,1,1,0,0,4,"",NA,NA,NA,NA,NA,NA,3,"A B C",1,1,1,0,0,0,2,"B",0,1,0,0,0,0,NA,5,"A C",1,0,1,0,0,0,4,"C",1,0,1,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,1,"",NA,NA,NA,NA,NA,NA,4,"B C",0,1,1,0,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,1,"F",0,0,0,0,0,1,2,"D",0,0,0,1,0,0,1,"",NA,0,0,NA,NA,0,2,"E",0,0,0,0,1,0,"Le nombre de place doit être augmenté",NA,NA,"","","",434094749,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",14,"0",20,"M","IUT",NA,"L",NA,2,"F",0,0,0,0,0,1,2,"C D",0,0,1,1,0,0,1,"D F",0,0,0,1,0,1,4,"D",0,0,0,1,0,0,1,"C F",0,1,1,0,0,1,NA,4,"A B C",1,1,1,0,0,0,5,"A B C",1,1,1,0,0,0,2,"A B C",1,1,1,0,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"",0,NA,NA,NA,1,NA,4,"A C F",1,0,1,0,0,1,NA,1,"F",0,0,0,0,0,1,2,"E",0,0,0,0,1,0,8,"",NA,0,0,NA,NA,0,2,"D E",0,0,0,1,1,0,"Approvisionnement en eau , internet",NA,NA,"","","",434095513,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","coeur2lion","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",9,"0",26,"F","IUT",NA,"L",NA,4,"A B C",1,1,1,0,0,0,4,"A B D",1,1,1,1,0,0,4,"A B D",1,1,0,1,0,0,4,"A B",1,1,0,0,0,0,4,"A E",0,1,0,0,0,0,NA,5,"A C",1,0,1,0,0,0,4,"A B C",1,1,1,0,0,0,3,"A B E",1,1,0,0,0,0,3,"A",0,0,0,0,0,0,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,4,"A C",1,0,1,0,0,0,8,"",0,NA,NA,NA,1,NA,4,"A D",1,0,0,1,0,0,NA,4,"A C D",1,0,1,1,0,0,2,"B C E",0,1,1,0,1,0,2,"",NA,0,0,NA,NA,0,4,"A B",1,1,0,0,0,0,"",NA,NA,"","","",434097308,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",6,"0",27,"M","SHLAM",NA,"L",NA,4,"A B D E F",1,1,0,1,1,1,4,"A B C D E F",1,1,1,1,1,1,4,"",NA,NA,NA,NA,NA,NA,4,"A C D E F",1,0,1,1,1,1,2,"A B C E F",0,1,1,0,0,1,NA,4,"A D E F",1,0,0,1,0,1,4,"A C E",1,0,1,0,1,0,8,"",NA,NA,NA,NA,0,0,2,"A B C D E F",0,1,1,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,2,"E",0,0,0,0,1,0,4,"B D",0,1,0,1,0,0,2,"E",0,0,0,0,1,0,2,"D E F",0,0,0,1,1,1,NA,2,"D E",0,0,0,1,1,0,2,"D E",0,0,0,1,1,0,2,"E",0,0,0,0,1,0,2,"D E",0,0,0,1,1,0,"",NA,NA,"","","",434098746,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","insatisfait_100","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",25,"M","SHLAM",NA,"L",NA,4,"C",0,0,1,0,0,0,4,"A B D",1,1,1,1,0,0,2,"D E",0,0,0,1,1,0,4,"C",0,0,1,0,0,0,1,"B C",0,1,1,0,0,0,NA,4,"A B C",1,1,1,0,0,0,4,"A B C",1,1,1,0,0,0,8,"",NA,NA,NA,NA,0,0,4,"C",0,0,1,0,0,0,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,3,"A D",1,0,0,1,0,0,4,"A C",1,0,1,0,0,0,8,"",NA,0,0,NA,NA,0,4,"B",0,1,0,0,0,0,"Le restaurant universitaire doit vraiment être revu",NA,NA,"","","",434098936,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",14,"0",19,"M","IUT",NA,"L",NA,3,"",NA,NA,NA,NA,NA,NA,2,"C",0,0,1,0,0,0,1,"D F",0,0,0,1,0,1,4,"D",0,0,0,1,0,0,2,"B C",0,1,1,0,0,0,NA,4,"A B C",1,1,1,0,0,0,2,"E",1,0,0,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,4,"A C F",1,0,1,0,0,1,NA,2,"D F",0,0,0,1,0,1,3,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,2,"D E",0,0,0,1,1,0,"",NA,NA,"","","",434098962,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","coeur2lion","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"",NA,"0",22,"M","SHLAM",NA,"L",NA,4,"B E F",0,1,0,0,1,1,4,"C D E F",0,0,1,1,1,1,3,"",NA,NA,NA,NA,NA,NA,4,"A B D E",1,1,0,1,1,0,2,"A B C",0,1,1,0,0,0,NA,4,"A D",1,0,0,1,0,0,4,"E",1,0,0,0,1,0,8,"",NA,NA,NA,NA,0,0,4,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,4,"D F",0,0,0,1,0,1,3,"",NA,NA,NA,NA,NA,NA,3,"",NA,0,0,NA,NA,0,2,"E",0,0,0,0,1,0,"",NA,NA,"","","",434100237,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","validation_status_not_approved",NA,"submitted_via_web","lea_benedicte10","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",19,"F","SJPEG",NA,"L",NA,3,"A C",1,0,1,0,0,0,3,"A B C D E F",1,1,1,1,1,1,4,"",NA,NA,NA,NA,NA,NA,5,"A C",1,0,1,0,0,0,3,"B D",0,1,0,0,0,0,NA,4,"",1,NA,NA,NA,0,NA,5,"A C E",1,0,1,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,5,"A B C D",1,1,1,1,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,1,"F",0,0,0,0,0,1,2,"E",0,0,0,0,1,0,8,"",NA,0,0,NA,NA,0,3,"D E",0,0,0,1,1,0,"RAS",NA,NA,"","","",434100433,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",9,"0",20,"F","IUT",NA,"L",NA,3,"C D",0,0,1,1,0,0,4,"B C D E F",0,1,1,1,1,1,4,"B D E",0,1,0,1,1,0,2,"B E F",0,1,0,0,1,1,1,"B C F",0,1,1,0,0,1,NA,4,"A B D E F",1,1,0,1,0,1,4,"A C",1,0,1,0,0,0,2,"A B",1,1,0,0,0,0,2,"D F",0,0,0,1,0,1,4,"A C E",1,0,1,0,1,0,NA,2,"A",1,0,0,0,0,0,2,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,2,"A C D",1,0,1,1,0,0,NA,3,"",NA,NA,NA,NA,NA,NA,1,"F",0,0,0,0,0,1,8,"",NA,0,0,NA,NA,0,2,"E F",0,0,0,0,1,0,"",NA,NA,"","","",434103446,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",22,"F","SHLAM",NA,"L",NA,2,"",NA,NA,NA,NA,NA,NA,2,"",NA,NA,1,NA,NA,NA,3,"B",0,1,0,0,0,0,4,"B E",0,1,0,0,1,0,2,"",0,1,NA,0,0,NA,NA,4,"A B C",1,1,1,0,0,0,4,"B",1,1,0,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,0,NA,NA,NA,4,"B C",0,1,1,0,0,0,8,"",0,NA,NA,NA,1,NA,3,"A",1,0,0,0,0,0,NA,2,"D E",0,0,0,1,1,0,4,"A C",1,0,1,0,0,0,8,"",NA,0,0,NA,NA,0,3,"D E",0,0,0,1,1,0,"",NA,NA,"","","",434103621,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",14,"0",21,"M","IUT",NA,"L",NA,4,"B C F",0,1,1,0,0,1,4,"B C E",0,1,1,0,1,0,4,"A B",1,1,0,0,0,0,3,"F",0,0,0,0,0,1,2,"C F",0,1,1,0,0,1,NA,4,"A B F",1,1,0,0,0,1,4,"A C",1,0,1,0,0,0,2,"A B C",1,1,1,0,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"",0,NA,NA,NA,1,NA,3,"",NA,NA,NA,NA,NA,NA,NA,4,"A B C",1,1,1,0,0,0,4,"B C",0,1,1,0,0,0,8,"",NA,0,0,NA,NA,0,3,"",NA,NA,NA,NA,NA,0,"amélioration de la sécurité",NA,NA,"","","",434104756,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","coeur2lion","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",20,"F","INSSA",NA,"L",NA,4,"A C D F",1,0,1,1,0,1,5,"A B C D E F",1,1,1,1,1,1,2,"D",0,0,0,1,0,0,5,"F",0,0,0,0,0,1,4,"B D",0,1,0,0,0,0,NA,3,"D E F",1,0,0,1,0,1,4,"A C E",1,0,1,0,1,0,5,"B D E",0,1,0,1,0,0,8,"",0,NA,NA,NA,NA,NA,4,"A B C D",1,1,1,1,0,0,NA,8,"",NA,NA,0,NA,NA,NA,3,"A B",1,1,0,0,0,0,8,"",0,NA,NA,NA,1,NA,5,"A B",1,1,0,0,0,0,NA,5,"A B C",1,1,1,0,0,0,2,"D",0,0,0,1,0,0,1,"",NA,0,0,NA,NA,0,4,"B E",0,1,0,0,1,0,"Aménagement des salles de classe",NA,NA,"","","",434109038,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",9,"0",21,"F","IUT",NA,"L",NA,5,"E",0,0,0,0,1,0,4,"D",0,0,1,1,0,0,2,"",NA,NA,NA,NA,NA,NA,3,"B E",0,1,0,0,1,0,1,"B F",0,1,0,0,0,1,NA,4,"A B D",1,1,0,1,0,0,5,"A C E",1,0,1,0,1,0,1,"A B C",1,1,1,0,0,0,8,"",0,NA,NA,NA,NA,NA,4,"C",0,0,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,4,"A C",0,0,1,0,1,0,3,"A C D F",1,0,1,1,0,1,NA,3,"",NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,1,"A B",1,0,0,0,0,0,2,"E",0,0,0,0,1,0,"",NA,NA,"","","",434110166,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",19,"M","SHLAM",NA,"L",NA,4,"B",0,1,0,0,0,0,4,"D E",0,0,1,1,1,0,4,"B D",0,1,0,1,0,0,3,"A C D E",1,0,1,1,1,0,4,"",0,1,NA,0,0,NA,NA,3,"D",1,0,0,1,0,0,4,"A B",1,1,0,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,4,"C",0,0,1,0,0,0,NA,4,"F",0,0,0,0,0,1,8,"",NA,NA,NA,NA,NA,NA,4,"A B C E",0,1,1,0,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,4,"B C",0,1,1,0,0,0,8,"",NA,0,0,NA,NA,0,3,"B",0,1,0,0,0,0,"",NA,NA,"","","",434110900,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",6,"0",20,"M","ESI",NA,"L",NA,4,"B D E",0,1,0,1,1,0,5,"A C D E F",1,0,1,1,1,1,4,"B C E F",0,1,1,0,1,1,4,"B E",0,1,0,0,1,0,3,"A C E",0,1,1,0,0,0,NA,5,"A B C F",1,1,1,0,0,1,5,"A B C D E",1,1,1,0,1,0,4,"B D E F",0,1,0,1,0,0,3,"D E F",0,0,0,1,1,1,5,"A B C E F",1,1,1,0,1,1,NA,5,"B F",0,1,0,0,0,1,5,"B E",0,1,0,0,1,0,3,"D E",0,0,0,1,1,0,4,"A",1,0,0,0,0,0,NA,2,"D E F",0,0,0,1,1,1,4,"A",1,0,0,0,0,0,3,"E",0,0,0,0,1,0,4,"D",0,0,0,1,0,0,"",NA,NA,"","","",434112024,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","insatisfait_100","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",1,"0",27,"M","SHLAM",NA,"L",NA,4,"",NA,NA,NA,NA,NA,NA,2,"C D E F",0,0,1,1,1,1,4,"B C E F",0,1,1,0,1,1,4,"B E F",0,1,0,0,1,1,1,"B C F",0,1,1,0,0,1,NA,2,"A F",1,0,0,0,0,1,4,"A E",1,0,0,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,4,"B C D",0,1,1,1,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,4,"A C D",1,0,1,1,0,0,NA,2,"B D E F",0,1,0,1,1,1,2,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,3,"",NA,NA,NA,NA,NA,0,"",NA,NA,"","","",434113247,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","lea_benedicte10","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",25,"F","SJPEG",NA,"L",NA,3,"",NA,NA,NA,NA,NA,NA,2,"D E",0,0,1,1,1,0,2,"D F",0,0,0,1,0,1,3,"D E",0,0,0,1,1,0,1,"B C",0,1,1,0,0,0,NA,4,"A B C",1,1,1,0,0,0,4,"A B",1,1,0,0,0,0,8,"",NA,NA,NA,NA,0,0,4,"A B",0,1,0,0,0,0,8,"",NA,NA,NA,NA,NA,NA,NA,4,"F",0,0,0,0,0,1,2,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,4,"A",1,0,0,0,0,0,NA,2,"D E F",0,0,0,1,1,1,3,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,4,"B",0,1,0,0,0,0,"",NA,NA,"","","",434117074,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",21,"F","SJPEG",NA,"L",NA,3,"A",1,0,0,0,0,0,2,"",NA,NA,1,NA,NA,NA,4,"",NA,NA,NA,NA,NA,NA,3,"D E",0,0,0,1,1,0,3,"B",0,1,0,0,0,0,NA,4,"",1,NA,NA,NA,0,NA,4,"",1,NA,NA,0,NA,NA,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,3,"A B C E",0,1,1,0,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,1,"F",0,0,0,0,0,1,1,"D",0,0,0,1,0,0,8,"",NA,0,0,NA,NA,0,2,"E",0,0,0,0,1,0,"RAS",NA,NA,"","","",434118588,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",14,"0",23,"M","IUT",NA,"L",NA,3,"A D",1,0,0,1,0,0,4,"A B E",1,1,1,0,1,0,4,"A C",1,0,1,0,0,0,3,"B E",0,1,0,0,1,0,2,"B",0,1,0,0,0,0,NA,4,"A B C",1,1,1,0,0,0,4,"A C",1,0,1,0,0,0,8,"",NA,NA,NA,NA,0,0,4,"B",0,1,0,0,0,0,5,"A B",1,1,0,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,4,"A C F",1,0,1,0,0,1,NA,2,"F",0,0,0,0,0,1,3,"",NA,NA,NA,NA,NA,NA,3,"",NA,0,0,NA,NA,0,2,"D",0,0,0,1,0,0,"",NA,NA,"","","",434118920,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","coeur2lion","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",9,"0",22,"M","IUT",NA,"L",NA,4,"A B C",1,1,1,0,0,0,2,"B D",0,1,1,1,0,0,3,"B",0,1,0,0,0,0,4,"A B",1,1,0,0,0,0,1,"",0,1,NA,0,0,NA,NA,3,"A D",1,0,0,1,0,0,2,"A C E",1,0,1,0,1,0,2,"A B",1,1,0,0,0,0,4,"B C",0,1,1,0,0,0,5,"A B C",1,1,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,1,"C D E",0,0,1,1,1,0,4,"A B C D",1,1,1,1,0,0,NA,4,"A B C F",1,1,1,0,0,1,4,"A B C E F",1,1,1,0,1,1,8,"",NA,0,0,NA,NA,0,4,"A D",1,0,0,1,0,0,"",NA,NA,"","","",434119070,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",1,"0",23,"F","IUT",NA,"L",NA,4,"",NA,NA,NA,NA,NA,NA,4,"A B C E F",1,1,1,0,1,1,2,"D F",0,0,0,1,0,1,4,"F",0,0,0,0,0,1,4,"D",0,1,0,0,0,0,NA,4,"A B C",1,1,1,0,0,0,4,"A C",1,0,1,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,2,"F",0,0,0,0,0,1,4,"A C D",1,0,1,1,0,0,4,"D F",0,0,0,1,0,0,4,"A",1,0,0,0,0,0,"Problème de salle, alléger les programmes",NA,NA,"","","",434125401,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","lea_benedicte10","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",21,"F","SJPEG",NA,"L",NA,3,"B C F",0,1,1,0,0,1,2,"",NA,NA,1,NA,NA,NA,4,"",NA,NA,NA,NA,NA,NA,2,"D",0,0,0,1,0,0,1,"B F",0,1,0,0,0,1,NA,4,"A C D E",1,0,1,1,0,0,2,"C",1,0,1,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,3,"A B C E F",0,1,1,0,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,1,"F",0,0,0,0,0,1,2,"C",0,0,1,0,0,0,8,"",NA,0,0,NA,NA,0,3,"E",0,0,0,0,1,0,"Les toilettes doivent être propre et les tableaux sont trop éloignés si l’on est derrière, les micros ne sont pas bon",NA,NA,"","","",434125495,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
8,"D",9,"0",21,"M","IUT",NA,"L",NA,5,"A C E F",1,0,1,0,1,1,2,"B D F",0,1,1,1,0,1,4,"A E F",1,0,0,0,1,1,2,"A",1,0,0,0,0,0,4,"B F",0,1,0,0,0,1,NA,2,"A C",1,0,1,0,0,0,4,"A B C",1,1,1,0,0,0,5,"A",1,0,0,0,0,0,4,"B F",0,1,0,0,0,1,4,"A B",1,1,0,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,4,"",NA,NA,NA,NA,NA,NA,NA,4,"A D E",1,0,0,1,1,0,2,"A B C",1,1,1,0,0,0,8,"",NA,0,0,NA,NA,0,3,"",NA,NA,NA,NA,NA,0,"",NA,NA,"","","",434125885,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
